"","year","series","pct_change","period"
"1",1949,"1. Per Capita GDP",NA,"Old"
"2",1950,"1. Per Capita GDP",2.20018818254026,"Old"
"3",1951,"1. Per Capita GDP",2.91534047855147,"Old"
"4",1952,"1. Per Capita GDP",1.3590049269622,"Old"
"5",1953,"1. Per Capita GDP",5.06768285093974,"Old"
"6",1954,"1. Per Capita GDP",3.87312310711693,"Old"
"7",1955,"1. Per Capita GDP",3.55283309081217,"Old"
"8",1956,"1. Per Capita GDP",1.28343169958379,"Old"
"9",1957,"1. Per Capita GDP",1.49850235093274,"Old"
"10",1958,"1. Per Capita GDP",0.809572997346815,"Old"
"11",1959,"1. Per Capita GDP",3.69899445197196,"Old"
"12",1960,"1. Per Capita GDP",5.71859567394111,"Old"
"13",1961,"1. Per Capita GDP",2.02580732865968,"Old"
"14",1962,"1. Per Capita GDP",0.389242396627567,"Old"
"15",1963,"1. Per Capita GDP",4.02654082810608,"Old"
"16",1964,"1. Per Capita GDP",5.0331145648283,"Old"
"17",1965,"1. Per Capita GDP",1.42487584575155,"Old"
"18",1966,"1. Per Capita GDP",0.954628100994106,"Old"
"19",1967,"1. Per Capita GDP",2.20939854701837,"Old"
"20",1968,"1. Per Capita GDP",4.88881285952901,"Old"
"21",1969,"1. Per Capita GDP",1.46547661185817,"Old"
"22",1970,"1. Per Capita GDP",2.3418546047004,"Old"
"23",1971,"1. Per Capita GDP",3.19501228707099,"Old"
"24",1972,"1. Per Capita GDP",3.91454963190282,"Old"
"25",1973,"1. Per Capita GDP",6.20490400899334,"Old"
"26",1974,"1. Per Capita GDP",-2.63898560052658,"Old"
"27",1975,"1. Per Capita GDP",-1.52611370098807,"Old"
"28",1976,"1. Per Capita GDP",3.01942788007114,"Old"
"29",1977,"1. Per Capita GDP",2.5037400181009,"Old"
"30",1978,"1. Per Capita GDP",4.22037496018199,"Old"
"31",1979,"1. Per Capita GDP",3.68725836037742,"Old"
"32",1980,"1. Per Capita GDP",-2.16799998017962,"Old"
"33",1981,"1. Per Capita GDP",-0.644479000410564,"Old"
"34",1982,"1. Per Capita GDP",2.03621248963956,"Old"
"35",1983,"1. Per Capita GDP",4.23410320310775,"Old"
"36",1984,"1. Per Capita GDP",2.14343263345094,"Old"
"37",1985,"1. Per Capita GDP",3.87522244185112,"Old"
"38",1986,"1. Per Capita GDP",2.87936389928747,"Old"
"39",1987,"1. Per Capita GDP",5.22193930942205,"Old"
"40",1988,"1. Per Capita GDP",5.19974054232627,"Old"
"41",1989,"1. Per Capita GDP",2.17346979022572,"Old"
"42",1990,"1. Per Capita GDP",0.290644718730856,"Old"
"43",1991,"1. Per Capita GDP",-1.7359154823529,"Old"
"44",1992,"1. Per Capita GDP",-0.0232976556016481,"Old"
"45",1993,"1. Per Capita GDP",2.03183804906948,"Old"
"46",1994,"1. Per Capita GDP",3.18796056971512,"Old"
"47",1995,"1. Per Capita GDP",2.11053491862279,"Old"
